Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
1.1,84.0,240,200.0,0.8945552,0.5152638,20.0,15.260001,9.81
1.1999999,84.0,240,200.0,1.8699753,0.5618419,20.0,15.260001,9.81
1.3,84.0,240,200.0,2.9248087,0.60758394,20.0,15.260001,9.81
1.4,84.0,240,200.0,4.0576296,0.6525048,20.0,15.260001,9.81
1.5,84.0,240,200.0,5.2670383,0.6966195,20.0,15.260001,9.81
1.6000001,84.0,240,200.0,6.5516615,0.7399428,20.0,15.260001,9.81
1.7000002,84.0,240,200.0,7.910148,0.78248847,20.0,15.260001,9.81
1.8000002,84.0,240,200.0,9.341173,0.82427007,20.0,15.260001,9.81
1.9000002,84.0,240,200.0,10.843434,0.8653023,20.0,15.260001,9.81
2.0000002,84.0,240,200.0,12.415652,0.9055977,20.0,15.260001,9.81
2.1000004,84.0,240,200.0,14.056571,0.9451698,20.0,15.260001,9.81
2.2000003,84.0,240,200.0,15.764959,0.984032,20.0,15.260001,9.81
2.3000004,84.0,240,200.0,17.539606,1.0221964,20.0,15.260001,9.81
2.4000006,84.0,240,200.0,19.379322,1.0596759,20.0,15.260001,9.81
2.5000005,84.0,240,200.0,21.282938,1.096483,20.0,15.260001,9.81
2.6000004,84.0,240,200.0,23.249308,1.132629,20.0,15.260001,9.81
2.7000003,84.0,240,200.0,25.277306,1.1681266,20.0,15.260001,9.81
2.8000002,84.0,240,200.0,27.365826,1.2029866,20.0,15.260001,9.81
2.9,84.0,240,200.0,29.513777,1.2372214,20.0,15.260001,9.81
3.0,84.0,240,200.0,31.7201,1.2708415,20.0,15.260001,9.81
3.1,84.0,240,200.0,33.983746,1.3038584,20.0,15.260001,9.81
3.1999998,84.0,240,200.0,36.303677,1.3362826,20.0,15.260001,9.81
3.2999997,84.0,240,200.0,38.678894,1.3681247,20.0,15.260001,9.81
3.3999996,84.0,240,200.0,41.1084,1.3993955,20.0,15.260001,9.81
3.4999995,84.0,240,200.0,43.59122,1.430105,20.0,15.260001,9.81
3.5999994,84.0,240,200.0,46.1264,1.4602633,20.0,15.260001,9.81
3.6999993,84.0,240,200.0,48.712994,1.4898801,20.0,15.260001,9.81
3.7999992,84.0,240,200.0,51.350086,1.5189655,20.0,15.260001,9.81
3.8999991,84.0,240,200.0,54.036766,1.5475287,20.0,15.260001,9.81
3.999999,84.0,240,200.0,56.772152,1.5755796,20.0,15.260001,9.81
4.099999,84.0,240,200.0,59.55536,1.6031268,20.0,15.260001,9.81
4.199999,84.0,240,200.0,62.385536,1.6301798,20.0,15.260001,9.81
4.2999988,84.0,240,200.0,65.261826,1.656747,20.0,15.260001,9.81
4.3999987,84.0,240,200.0,68.18342,1.6828374,20.0,15.260001,9.81
4.4999986,84.0,240,200.0,71.1495,1.7084596,20.0,15.260001,9.81
4.5999985,84.0,240,200.0,74.159256,1.733622,20.0,15.260001,9.81
4.6999984,84.0,240,200.0,77.211914,1.7583326,20.0,15.260001,9.81
4.7999983,84.0,240,200.0,80.30671,1.7825998,20.0,15.260001,9.81
4.899998,84.0,240,200.0,83.44287,1.8064313,20.0,15.260001,9.81
4.999998,84.0,240,200.0,86.619675,1.8298353,20.0,15.260001,9.81
5.099998,84.0,240,200.0,89.836365,1.8528191,20.0,15.260001,9.81
5.199998,84.0,240,200.0,93.092255,1.8753903,20.0,15.260001,9.81
5.299998,84.0,240,200.0,96.38662,1.8975565,20.0,15.260001,9.81
5.3999977,84.0,240,200.0,99.71878,1.9193251,20.0,15.260001,9.81
