Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
1.1,105.0,456,240.0,0.8945552,0.5152638,200.0,19.075,9.81
1.1999999,105.0,456,240.0,1.869975,0.56184167,200.0,19.075,9.81
1.3,105.0,456,240.0,2.9248085,0.60758394,200.0,19.075,9.81
1.4,105.0,456,240.0,4.057629,0.6525048,200.0,19.075,9.81
1.5,105.0,456,240.0,5.267038,0.6966195,200.0,19.075,9.81
1.6000001,105.0,456,240.0,6.551661,0.7399428,200.0,19.075,9.81
1.7000002,105.0,456,240.0,7.9101477,0.78248847,200.0,19.075,9.81
1.8000002,105.0,456,240.0,9.341171,0.8242699,200.0,19.075,9.81
1.9000002,105.0,456,240.0,10.843431,0.8653021,200.0,19.075,9.81
2.0000002,105.0,456,240.0,12.415649,0.9055975,200.0,19.075,9.81
2.1000004,105.0,456,240.0,14.05657,0.9451698,200.0,19.075,9.81
2.2000003,105.0,456,240.0,15.764957,0.984032,200.0,19.075,9.81
2.3000004,105.0,456,240.0,17.539604,1.0221962,200.0,19.075,9.81
2.4000006,105.0,456,240.0,19.37932,1.059676,200.0,19.075,9.81
2.5000005,105.0,456,240.0,21.282938,1.0964828,200.0,19.075,9.81
2.6000004,105.0,456,240.0,23.249306,1.132629,200.0,19.075,9.81
2.7000003,105.0,456,240.0,25.277304,1.1681263,200.0,19.075,9.81
2.8000002,105.0,456,240.0,27.36582,1.2029868,200.0,19.075,9.81
2.9,105.0,456,240.0,29.513775,1.2372211,200.0,19.075,9.81
3.0,105.0,456,240.0,31.720098,1.2708415,200.0,19.075,9.81
3.1,105.0,456,240.0,33.98374,1.3038582,200.0,19.075,9.81
3.1999998,105.0,456,240.0,36.303673,1.3362823,200.0,19.075,9.81
3.2999997,105.0,456,240.0,38.678886,1.3681246,200.0,19.075,9.81
3.3999996,105.0,456,240.0,41.108395,1.3993952,200.0,19.075,9.81
3.4999995,105.0,456,240.0,43.591213,1.4301046,200.0,19.075,9.81
3.5999994,105.0,456,240.0,46.12639,1.460263,200.0,19.075,9.81
3.6999993,105.0,456,240.0,48.71299,1.4898802,200.0,19.075,9.81
3.7999992,105.0,456,240.0,51.350082,1.5189655,200.0,19.075,9.81
3.8999991,105.0,456,240.0,54.036762,1.5475287,200.0,19.075,9.81
3.999999,105.0,456,240.0,56.77214,1.5755794,200.0,19.075,9.81
4.099999,105.0,456,240.0,59.555344,1.6031268,200.0,19.075,9.81
4.199999,105.0,456,240.0,62.38552,1.6301795,200.0,19.075,9.81
4.2999988,105.0,456,240.0,65.26182,1.656747,200.0,19.075,9.81
4.3999987,105.0,456,240.0,68.18341,1.6828372,200.0,19.075,9.81
4.4999986,105.0,456,240.0,71.14948,1.7084596,200.0,19.075,9.81
4.5999985,105.0,456,240.0,74.15924,1.7336217,200.0,19.075,9.81
4.6999984,105.0,456,240.0,77.21191,1.7583325,200.0,19.075,9.81
4.7999983,105.0,456,240.0,80.306694,1.7825997,200.0,19.075,9.81
4.899998,105.0,456,240.0,83.44286,1.8064312,200.0,19.075,9.81
4.999998,105.0,456,240.0,86.61966,1.829835,200.0,19.075,9.81
5.099998,105.0,456,240.0,89.83636,1.8528188,200.0,19.075,9.81
5.199998,105.0,456,240.0,93.09224,1.8753903,200.0,19.075,9.81
5.299998,105.0,456,240.0,96.38661,1.8975563,200.0,19.075,9.81
5.3999977,105.0,456,240.0,99.71877,1.9193249,200.0,19.075,9.81
5.4999976,105.0,456,240.0,103.08805,1.9407026,200.0,19.075,9.81
5.5999975,105.0,456,240.0,106.493774,1.9616965,200.0,19.075,9.81
5.6999974,105.0,456,240.0,109.93529,1.9823138,200.0,19.075,9.81
5.7999973,105.0,456,240.0,113.41196,2.0025606,200.0,19.075,9.81
5.899997,105.0,456,240.0,116.92314,2.0224445,200.0,19.075,9.81
5.999997,105.0,456,240.0,120.46823,2.041971,200.0,19.075,9.81
6.099997,105.0,456,240.0,124.0466,2.0611475,200.0,19.075,9.81
6.199997,105.0,456,240.0,127.657684,2.07998,200.0,19.075,9.81
6.299997,105.0,456,240.0,131.30087,2.0984738,200.0,19.075,9.81
6.3999968,105.0,456,240.0,134.97559,2.116636,200.0,19.075,9.81
6.4999967,105.0,456,240.0,138.68127,2.1344726,200.0,19.075,9.81
6.5999966,105.0,456,240.0,142.41736,2.1519887,200.0,19.075,9.81
6.6999965,105.0,456,240.0,146.18332,2.1691902,200.0,19.075,9.81
6.7999964,105.0,456,240.0,149.9786,2.186083,200.0,19.075,9.81
6.8999963,105.0,456,240.0,153.80267,2.2026732,200.0,19.075,9.81
6.999996,105.0,456,240.0,157.65506,2.2189653,200.0,19.075,9.81
7.099996,105.0,456,240.0,161.5352,2.2349648,200.0,19.075,9.81
7.199996,105.0,456,240.0,165.44263,2.2506773,200.0,19.075,9.81
7.299996,105.0,456,240.0,169.37685,2.2661078,200.0,19.075,9.81
7.399996,105.0,456,240.0,173.33736,2.2812612,200.0,19.075,9.81
7.4999957,105.0,456,240.0,177.32372,2.296143,200.0,19.075,9.81
7.5999956,105.0,456,240.0,181.33545,2.3107574,200.0,19.075,9.81
7.6999955,105.0,456,240.0,185.37209,2.3251092,200.0,19.075,9.81
7.7999954,105.0,456,240.0,189.4332,2.339204,200.0,19.075,9.81
