Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
5.3999977,50.0,240,240.0,-0.0013389587,33.689804,12.0,9.083334,9.81
5.4999976,50.0,240,240.0,4.325321,34.531708,12.0,9.083334,9.81
5.5999975,50.0,240,240.0,8.657284,35.280117,12.0,9.083334,9.81
5.6999974,50.0,240,240.0,12.984634,35.93501,12.0,9.083334,9.81
5.7999973,50.0,240,240.0,17.297623,36.496582,12.0,9.083334,9.81
5.899997,50.0,240,240.0,21.586742,36.965233,12.0,9.083334,9.81
5.999997,50.0,240,240.0,25.842644,37.341557,12.0,9.083334,9.81
6.099997,50.0,240,240.0,30.056282,37.62636,12.0,9.083334,9.81
6.199997,50.0,240,240.0,34.21885,37.820656,12.0,9.083334,9.81
6.299997,50.0,240,240.0,38.321815,37.925594,12.0,9.083334,9.81
6.3999968,50.0,240,240.0,42.356937,37.942574,12.0,9.083334,9.81
6.4999967,50.0,240,240.0,46.316273,37.873116,12.0,9.083334,9.81
5.3999977,50.0,240,240.0,-0.0013389587,33.689804,12.0,9.083334,9.81
5.4999976,50.0,240,240.0,4.325321,34.531708,12.0,9.083334,9.81
5.5999975,50.0,240,240.0,8.657284,35.280117,12.0,9.083334,9.81
5.6999974,50.0,240,240.0,12.984634,35.93501,12.0,9.083334,9.81
5.7999973,50.0,240,240.0,17.297623,36.496582,12.0,9.083334,9.81
5.899997,50.0,240,240.0,21.586742,36.965233,12.0,9.083334,9.81
5.999997,50.0,240,240.0,25.842644,37.341557,12.0,9.083334,9.81
6.099997,50.0,240,240.0,30.056282,37.62636,12.0,9.083334,9.81
6.199997,50.0,240,240.0,34.21885,37.820656,12.0,9.083334,9.81
6.299997,50.0,240,240.0,38.321815,37.925594,12.0,9.083334,9.81
6.3999968,50.0,240,240.0,42.356937,37.942574,12.0,9.083334,9.81
6.4999967,50.0,240,240.0,46.316273,37.873116,12.0,9.083334,9.81
6.5999966,50.0,240,240.0,50.192192,37.718937,12.0,9.083334,9.81
6.6999965,50.0,240,240.0,53.977398,37.4819,12.0,9.083334,9.81
6.7999964,50.0,240,240.0,57.664925,37.16404,12.0,9.083334,9.81
6.8999963,50.0,240,240.0,61.24817,36.767525,12.0,9.083334,9.81
6.999996,50.0,240,240.0,64.72084,36.29467,12.0,9.083334,9.81
7.099996,50.0,240,240.0,68.07706,35.74791,12.0,9.083334,9.81
7.199996,50.0,240,240.0,71.31129,35.12982,12.0,9.083334,9.81
7.299996,50.0,240,240.0,74.41838,34.44308,12.0,9.083334,9.81
7.399996,50.0,240,240.0,77.393555,33.69048,12.0,9.083334,9.81
7.4999957,50.0,240,240.0,80.23245,32.87492,12.0,9.083334,9.81
7.5999956,50.0,240,240.0,82.931046,31.999361,12.0,9.083334,9.81
7.6999955,50.0,240,240.0,85.48574,31.06689,12.0,9.083334,9.81
7.7999954,50.0,240,240.0,87.893326,30.08063,12.0,9.083334,9.81
7.8999953,50.0,240,240.0,90.15097,29.043789,12.0,9.083334,9.81
7.999995,50.0,240,240.0,92.25624,27.959631,12.0,9.083334,9.81
8.099996,50.0,240,240.0,94.20709,26.83146,12.0,9.083334,9.81
8.199996,50.0,240,240.0,96.00188,25.662632,12.0,9.083334,9.81
8.299996,50.0,240,240.0,97.63931,24.456528,12.0,9.083334,9.81
8.399997,50.0,240,240.0,99.1185,23.216558,12.0,9.083334,9.81
8.499997,50.0,240,240.0,100.43893,21.946142,12.0,9.083334,9.81
8.5999975,50.0,240,240.0,101.60045,20.648712,12.0,9.083334,9.81
8.699998,50.0,240,240.0,102.60327,19.327703,12.0,9.083334,9.81
8.799998,50.0,240,240.0,103.448,17.986515,12.0,9.083334,9.81
8.899999,50.0,240,240.0,104.1355,16.628586,12.0,9.083334,9.81
8.999999,50.0,240,240.0,104.66707,15.257266,12.0,9.083334,9.81
9.099999,50.0,240,240.0,105.04431,13.875931,12.0,9.083334,9.81
9.2,50.0,240,240.0,105.26909,12.4879,12.0,9.083334,9.81
9.3,50.0,240,240.0,105.34367,11.09642,12.0,9.083334,9.81
9.400001,50.0,240,240.0,105.270584,9.704742,12.0,9.083334,9.81
9.500001,50.0,240,240.0,105.05263,8.316,12.0,9.083334,9.81
