Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
7.7999954,105.0,456,240.0,-0.0010290146,40.85062,200.0,19.075,9.81
7.8999953,105.0,456,240.0,4.015519,40.731297,200.0,19.075,9.81
7.999995,105.0,456,240.0,7.9811697,39.854393,200.0,19.075,9.81
8.099996,105.0,456,240.0,11.822868,38.249855,200.0,19.075,9.81
8.199996,105.0,456,240.0,15.47113,35.960682,200.0,19.075,9.81
8.299996,105.0,456,240.0,18.861431,33.041836,200.0,19.075,9.81
8.399997,105.0,456,240.0,21.935116,29.559101,200.0,19.075,9.81
8.499997,105.0,456,240.0,24.64056,25.587532,200.0,19.075,9.81
8.5999975,105.0,456,240.0,26.93393,21.209959,200.0,19.075,9.81
8.699998,105.0,456,240.0,28.779808,16.515371,200.0,19.075,9.81
8.799998,105.0,456,240.0,30.151829,11.59697,200.0,19.075,9.81
8.899999,105.0,456,240.0,31.032883,6.550568,200.0,19.075,9.81
8.999999,105.0,456,240.0,31.41536,1.4725237,200.0,19.075,9.81
9.099999,105.0,456,240.0,31.301067,-3.5418098,200.0,19.075,9.81
9.2,105.0,456,240.0,30.701061,-8.400117,200.0,19.075,9.81
9.3,105.0,456,240.0,29.635246,-13.014511,200.0,19.075,9.81
9.400001,105.0,456,240.0,28.131859,-17.303366,200.0,19.075,9.81
9.500001,105.0,456,240.0,26.226807,-21.192474,200.0,19.075,9.81
9.600001,105.0,456,240.0,23.96281,-24.616518,200.0,19.075,9.81
9.700002,105.0,456,240.0,21.388573,-27.519932,200.0,19.075,9.81
9.800002,105.0,456,240.0,18.55766,-29.857935,200.0,19.075,9.81
9.9000025,105.0,456,240.0,15.527461,-31.597075,200.0,19.075,9.81
10.000003,105.0,456,240.0,12.358111,-32.715637,200.0,19.075,9.81
10.100003,105.0,456,240.0,9.111183,-33.203907,200.0,19.075,9.81
10.200004,105.0,456,240.0,5.848673,-33.064087,200.0,19.075,9.81
10.300004,105.0,456,240.0,2.6316702,-32.310066,200.0,19.075,9.81
10.400004,105.0,456,240.0,-0.48059368,-30.966928,200.0,19.075,9.81
10.500005,105.0,456,240.0,-3.4319916,-29.070292,200.0,19.075,9.81
10.600005,105.0,456,240.0,-6.1703205,-26.665476,200.0,19.075,9.81
10.700006,105.0,456,240.0,-8.648365,-23.806444,200.0,19.075,9.81
10.800006,105.0,456,240.0,-10.824544,-20.554708,200.0,19.075,9.81
10.900006,105.0,456,240.0,-12.663714,-16.977922,200.0,19.075,9.81
11.000007,105.0,456,240.0,-14.137593,-13.148684,200.0,19.075,9.81
11.100007,105.0,456,240.0,-15.225261,-9.1429205,200.0,19.075,9.81
11.200007,105.0,456,240.0,-15.913369,-5.038493,200.0,19.075,9.81
11.300008,105.0,456,240.0,-16.19624,-0.9137819,200.0,19.075,9.81
11.400008,105.0,456,240.0,-16.075878,3.1539693,200.0,19.075,9.81
11.500009,105.0,456,240.0,-15.561761,7.089855,200.0,19.075,9.81
11.600009,105.0,456,240.0,-14.670547,10.822884,200.0,19.075,9.81
11.700009,105.0,456,240.0,-13.425637,14.287017,200.0,19.075,9.81
11.80001,105.0,456,240.0,-11.856578,17.422516,200.0,19.075,9.81
11.90001,105.0,456,240.0,-9.998467,20.176767,200.0,19.075,9.81
12.0000105,105.0,456,240.0,-7.891176,22.505207,200.0,19.075,9.81
12.100011,105.0,456,240.0,-5.57843,24.37212,200.0,19.075,9.81
12.200011,105.0,456,240.0,-3.1070814,25.750935,200.0,19.075,9.81
12.300012,105.0,456,240.0,-0.5261049,26.624676,200.0,19.075,9.81
12.400012,105.0,456,240.0,2.1144574,26.986137,200.0,19.075,9.81
12.500012,105.0,456,240.0,4.7642508,26.837759,200.0,19.075,9.81
12.600013,105.0,456,240.0,7.3736844,26.191463,200.0,19.075,9.81
12.700013,105.0,456,240.0,9.894776,25.068247,200.0,19.075,9.81
12.800014,105.0,456,240.0,12.282158,23.497604,200.0,19.075,9.81
12.900014,105.0,456,240.0,14.493665,21.516872,200.0,19.075,9.81
13.000014,105.0,456,240.0,16.491203,19.170347,200.0,19.075,9.81
13.100015,105.0,456,240.0,18.24133,16.508406,200.0,19.075,9.81
13.200015,105.0,456,240.0,19.715893,13.586291,200.0,19.075,9.81
13.300015,105.0,456,240.0,20.892307,10.463207,200.0,19.075,9.81
13.400016,105.0,456,240.0,21.753983,7.201015,200.0,19.075,9.81
13.500016,105.0,456,240.0,22.290485,3.8631053,200.0,19.075,9.81
13.600017,105.0,456,240.0,22.497673,0.51300406,200.0,19.075,9.81
13.700017,105.0,456,240.0,22.377567,-2.7865372,200.0,19.075,9.81
13.800017,105.0,456,240.0,21.938293,-5.974838,200.0,19.075,9.81
13.900018,105.0,456,240.0,21.193771,-8.994515,200.0,19.075,9.81
14.000018,105.0,456,240.0,20.163364,-11.792225,200.0,19.075,9.81
14.1000185,105.0,456,240.0,18.871418,-14.319771,200.0,19.075,9.81
14.200019,105.0,456,240.0,17.346752,-16.53482,200.0,19.075,9.81
14.300019,105.0,456,240.0,15.6219425,-18.40174,200.0,19.075,9.81
14.40002,105.0,456,240.0,13.732766,-19.891914,200.0,19.075,9.81
14.50002,105.0,456,240.0,11.717417,-20.984316,200.0,19.075,9.81
14.60002,105.0,456,240.0,9.615776,-21.665693,200.0,19.075,9.81
14.700021,105.0,456,240.0,7.4685354,-21.930746,200.0,19.075,9.81
14.800021,105.0,456,240.0,5.316593,-21.781977,200.0,19.075,9.81
14.900022,105.0,456,240.0,3.2002013,-21.229609,200.0,19.075,9.81
15.000022,105.0,456,240.0,1.1581378,-20.29117,200.0,19.075,9.81
15.100022,105.0,456,240.0,-0.7728119,-18.991096,200.0,19.075,9.81
15.200023,105.0,456,240.0,-2.5586262,-17.360128,200.0,19.075,9.81
15.300023,105.0,456,240.0,-4.1685753,-15.434658,200.0,19.075,9.81
15.400023,105.0,456,240.0,-5.575838,-13.255832,200.0,19.075,9.81
15.500024,105.0,456,240.0,-6.7577753,-10.868858,200.0,19.075,9.81
15.600024,105.0,456,240.0,-7.696389,-8.3220005,200.0,19.075,9.81
15.700025,105.0,456,240.0,-8.378528,-5.6656647,200.0,19.075,9.81
15.800025,105.0,456,240.0,-8.796091,-2.9512954,200.0,19.075,9.81
15.900025,105.0,456,240.0,-8.94603,-0.23059416,200.0,19.075,9.81
16.000025,105.0,456,240.0,-8.830355,2.4455383,200.0,19.075,9.81
16.100025,105.0,456,240.0,-8.455984,5.0280614,200.0,19.075,9.81
16.200026,105.0,456,240.0,-7.8345547,7.4704137,200.0,19.075,9.81
16.300026,105.0,456,240.0,-6.9820795,9.729626,200.0,19.075,9.81
16.400026,105.0,456,240.0,-5.918606,11.766808,200.0,19.075,9.81
16.500027,105.0,456,240.0,-4.66778,13.547925,200.0,19.075,9.81
16.600027,105.0,456,240.0,-3.25626,15.044399,200.0,19.075,9.81
16.700027,105.0,456,240.0,-1.7132745,16.233406,200.0,19.075,9.81
16.800028,105.0,456,240.0,-0.06996298,17.09828,200.0,19.075,9.81
16.900028,105.0,456,240.0,1.6411996,17.628704,200.0,19.075,9.81
17.000029,105.0,456,240.0,3.3871243,17.820799,200.0,19.075,9.81
17.100029,105.0,456,240.0,5.1345983,17.677053,200.0,19.075,9.81
17.20003,105.0,456,240.0,6.8510003,17.20617,200.0,19.075,9.81
17.30003,105.0,456,240.0,8.50485,16.422812,200.0,19.075,9.81
17.40003,105.0,456,240.0,10.066469,15.347187,200.0,19.075,9.81
17.50003,105.0,456,240.0,11.50836,14.004605,200.0,19.075,9.81
17.60003,105.0,456,240.0,12.805761,12.424926,200.0,19.075,9.81
17.700031,105.0,456,240.0,13.937102,10.641828,200.0,19.075,9.81
17.800032,105.0,456,240.0,14.884244,8.692238,200.0,19.075,9.81
17.900032,105.0,456,240.0,15.632825,6.6155124,200.0,19.075,9.81
18.000032,105.0,456,240.0,16.172438,4.452694,200.0,19.075,9.81
18.100033,105.0,456,240.0,16.496788,2.2456136,200.0,19.075,9.81
18.200033,105.0,456,240.0,16.603676,0.036260366,200.0,19.075,9.81
18.300034,105.0,456,240.0,16.495014,-2.1341143,200.0,19.075,9.81
18.400034,105.0,456,240.0,16.176704,-4.2257004,200.0,19.075,9.81
18.500034,105.0,456,240.0,15.658433,-6.2009554,200.0,19.075,9.81
18.600035,105.0,456,240.0,14.953465,-8.025097,200.0,19.075,9.81
18.700035,105.0,456,240.0,14.078297,-9.666811,200.0,19.075,9.81
18.800035,105.0,456,240.0,13.052321,-11.098732,200.0,19.075,9.81
18.900036,105.0,456,240.0,11.897358,-12.297958,200.0,19.075,9.81
19.000036,105.0,456,240.0,10.637277,-13.246278,200.0,19.075,9.81
19.100037,105.0,456,240.0,9.2974825,-13.930491,200.0,19.075,9.81
19.200037,105.0,456,240.0,7.904363,-14.342601,200.0,19.075,9.81
19.300037,105.0,456,240.0,6.4848785,-14.479793,200.0,19.075,9.81
19.400038,105.0,456,240.0,5.0659766,-14.34444,200.0,19.075,9.81
19.500038,105.0,456,240.0,3.6741326,-13.943971,200.0,19.075,9.81
19.600039,105.0,456,240.0,2.3347838,-13.290596,200.0,19.075,9.81
19.700039,105.0,456,240.0,1.071989,-12.401049,200.0,19.075,9.81
19.80004,105.0,456,240.0,-0.09207249,-11.29616,200.0,19.075,9.81
19.90004,105.0,456,240.0,-1.137445,-10.000422,200.0,19.075,9.81
20.00004,105.0,456,240.0,-2.046791,-8.541392,200.0,19.075,9.81
20.10004,105.0,456,240.0,-2.8055754,-6.949236,200.0,19.075,9.81
20.20004,105.0,456,240.0,-3.402337,-5.2560596,200.0,19.075,9.81
20.300041,105.0,456,240.0,-3.8288727,-3.4952128,200.0,19.075,9.81
20.400042,105.0,456,240.0,-4.0802736,-1.7007773,200.0,19.075,9.81
20.500042,105.0,456,240.0,-4.1549892,0.09317505,200.0,19.075,9.81
20.600042,105.0,456,240.0,-4.0548058,1.8531667,200.0,19.075,9.81
20.700043,105.0,456,240.0,-3.7847223,3.547028,200.0,19.075,9.81
20.800043,105.0,456,240.0,-3.35283,5.1443267,200.0,19.075,9.81
20.900043,105.0,456,240.0,-2.7700882,6.617004,200.0,19.075,9.81
21.000044,105.0,456,240.0,-2.0500813,7.939808,200.0,19.075,9.81
21.100044,105.0,456,240.0,-1.2086892,9.090796,200.0,19.075,9.81
21.200045,105.0,456,240.0,-0.26378822,10.051559,200.0,19.075,9.81
