Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
1.1,61.0,187,240.0,0.8945552,0.5152638,12.0,11.081667,9.81
1.1999999,61.0,187,240.0,1.869975,0.56184167,12.0,11.081667,9.81
1.3,61.0,187,240.0,2.9248085,0.60758394,12.0,11.081667,9.81
1.4,61.0,187,240.0,4.057629,0.6525048,12.0,11.081667,9.81
1.5,61.0,187,240.0,5.267038,0.6966195,12.0,11.081667,9.81
1.6000001,61.0,187,240.0,6.551661,0.7399428,12.0,11.081667,9.81
1.7000002,61.0,187,240.0,7.9101477,0.78248847,12.0,11.081667,9.81
1.8000002,61.0,187,240.0,9.341171,0.8242699,12.0,11.081667,9.81
1.9000002,61.0,187,240.0,10.843431,0.8653021,12.0,11.081667,9.81
2.0000002,61.0,187,240.0,12.415649,0.9055975,12.0,11.081667,9.81
2.1000004,61.0,187,240.0,14.05657,0.9451698,12.0,11.081667,9.81
2.2000003,61.0,187,240.0,15.764957,0.984032,12.0,11.081667,9.81
2.3000004,61.0,187,240.0,17.539604,1.0221962,12.0,11.081667,9.81
2.4000006,61.0,187,240.0,19.37932,1.059676,12.0,11.081667,9.81
2.5000005,61.0,187,240.0,21.282938,1.0964828,12.0,11.081667,9.81
2.6000004,61.0,187,240.0,23.249306,1.132629,12.0,11.081667,9.81
2.7000003,61.0,187,240.0,25.277304,1.1681263,12.0,11.081667,9.81
2.8000002,61.0,187,240.0,27.36582,1.2029868,12.0,11.081667,9.81
2.9,61.0,187,240.0,29.513775,1.2372211,12.0,11.081667,9.81
3.0,61.0,187,240.0,31.720098,1.2708415,12.0,11.081667,9.81
3.1,61.0,187,240.0,33.98374,1.3038582,12.0,11.081667,9.81
3.1999998,61.0,187,240.0,36.303673,1.3362823,12.0,11.081667,9.81
3.2999997,61.0,187,240.0,38.678886,1.3681246,12.0,11.081667,9.81
3.3999996,61.0,187,240.0,41.108395,1.3993952,12.0,11.081667,9.81
3.4999995,61.0,187,240.0,43.591213,1.4301046,12.0,11.081667,9.81
3.5999994,61.0,187,240.0,46.12639,1.460263,12.0,11.081667,9.81
3.6999993,61.0,187,240.0,48.71299,1.4898802,12.0,11.081667,9.81
3.7999992,61.0,187,240.0,51.350082,1.5189655,12.0,11.081667,9.81
3.8999991,61.0,187,240.0,54.036762,1.5475287,12.0,11.081667,9.81
3.999999,61.0,187,240.0,56.77214,1.5755794,12.0,11.081667,9.81
4.099999,61.0,187,240.0,59.555344,1.6031268,12.0,11.081667,9.81
4.199999,61.0,187,240.0,62.38552,1.6301795,12.0,11.081667,9.81
4.2999988,61.0,187,240.0,65.26182,1.656747,12.0,11.081667,9.81
4.3999987,61.0,187,240.0,68.18341,1.6828372,12.0,11.081667,9.81
4.4999986,61.0,187,240.0,71.14948,1.7084596,12.0,11.081667,9.81
4.5999985,61.0,187,240.0,74.15924,1.7336217,12.0,11.081667,9.81
4.6999984,61.0,187,240.0,77.21191,1.7583325,12.0,11.081667,9.81
