Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
1.1,50.0,240,240.0,0.8945557,0.51526403,12.0,9.083334,9.81
1.1999999,50.0,240,240.0,1.8699758,0.5618419,12.0,9.083334,9.81
1.3,50.0,240,240.0,2.924809,0.6075841,12.0,9.083334,9.81
1.4,50.0,240,240.0,4.0576305,0.6525053,12.0,9.083334,9.81
1.5,50.0,240,240.0,5.2670403,0.69662,12.0,9.083334,9.81
1.6000001,50.0,240,240.0,6.5516634,0.739943,12.0,9.083334,9.81
1.7000002,50.0,240,240.0,7.9101515,0.78248864,12.0,9.083334,9.81
1.8000002,50.0,240,240.0,9.341176,0.82427007,12.0,9.083334,9.81
1.9000002,50.0,240,240.0,10.843437,0.8653023,12.0,9.083334,9.81
2.0000002,50.0,240,240.0,12.415655,0.9055977,12.0,9.083334,9.81
2.1000004,50.0,240,240.0,14.056576,0.94517004,12.0,9.083334,9.81
2.2000003,50.0,240,240.0,15.764966,0.9840322,12.0,9.083334,9.81
2.3000004,50.0,240,240.0,17.539612,1.0221964,12.0,9.083334,9.81
2.4000006,50.0,240,240.0,19.379328,1.059676,12.0,9.083334,9.81
2.5000005,50.0,240,240.0,21.282944,1.096483,12.0,9.083334,9.81
2.6000004,50.0,240,240.0,23.249313,1.132629,12.0,9.083334,9.81
2.7000003,50.0,240,240.0,25.277313,1.1681266,12.0,9.083334,9.81
2.8000002,50.0,240,240.0,27.365831,1.2029868,12.0,9.083334,9.81
2.9,50.0,240,240.0,29.513786,1.2372214,12.0,9.083334,9.81
3.0,50.0,240,240.0,31.720106,1.2708416,12.0,9.083334,9.81
3.1,50.0,240,240.0,33.98375,1.3038584,12.0,9.083334,9.81
3.1999998,50.0,240,240.0,36.303688,1.3362825,12.0,9.083334,9.81
3.2999997,50.0,240,240.0,38.6789,1.3681247,12.0,9.083334,9.81
3.3999996,50.0,240,240.0,41.10841,1.3993953,12.0,9.083334,9.81
3.4999995,50.0,240,240.0,43.59123,1.4301047,12.0,9.083334,9.81
3.5999994,50.0,240,240.0,46.126404,1.4602633,12.0,9.083334,9.81
3.6999993,50.0,240,240.0,48.713005,1.4898803,12.0,9.083334,9.81
3.7999992,50.0,240,240.0,51.350098,1.5189656,12.0,9.083334,9.81
3.8999991,50.0,240,240.0,54.036785,1.547529,12.0,9.083334,9.81
3.999999,50.0,240,240.0,56.772163,1.5755796,12.0,9.083334,9.81
4.099999,50.0,240,240.0,59.55537,1.6031269,12.0,9.083334,9.81
4.199999,50.0,240,240.0,62.385548,1.6301798,12.0,9.083334,9.81
4.2999988,50.0,240,240.0,65.26184,1.656747,12.0,9.083334,9.81
4.3999987,50.0,240,240.0,68.18343,1.6828374,12.0,9.083334,9.81
4.4999986,50.0,240,240.0,71.149506,1.7084596,12.0,9.083334,9.81
4.5999985,50.0,240,240.0,74.15926,1.733622,12.0,9.083334,9.81
4.6999984,50.0,240,240.0,77.21192,1.7583326,12.0,9.083334,9.81
4.7999983,50.0,240,240.0,80.306725,1.7825998,12.0,9.083334,9.81
4.899998,50.0,240,240.0,83.44289,1.8064313,12.0,9.083334,9.81
4.999998,50.0,240,240.0,86.61968,1.8298352,12.0,9.083334,9.81
5.099998,50.0,240,240.0,89.83638,1.8528191,12.0,9.083334,9.81
5.199998,50.0,240,240.0,93.09228,1.8753903,12.0,9.083334,9.81
5.299998,50.0,240,240.0,96.386635,1.8975565,12.0,9.083334,9.81
5.3999977,50.0,240,240.0,99.7188,1.9193251,12.0,9.083334,9.81
