Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
5.3999977,84.0,240,200.0,-5.645752E-4,33.691174,20.0,15.260001,9.81
5.4999976,84.0,240,200.0,4.328285,34.541462,20.0,15.260001,9.81
5.5999975,84.0,240,200.0,8.663136,35.298073,20.0,15.260001,9.81
5.6999974,84.0,240,200.0,12.994049,35.960983,20.0,15.260001,9.81
5.7999973,84.0,240,200.0,17.31126,36.530373,20.0,15.260001,9.81
5.899997,84.0,240,200.0,21.60523,37.006622,20.0,15.260001,9.81
5.999997,84.0,240,200.0,25.8666,37.390316,20.0,15.260001,9.81
6.099997,84.0,240,200.0,30.086296,37.682247,20.0,15.260001,9.81
6.199997,84.0,240,200.0,34.25549,37.883408,20.0,15.260001,9.81
6.299997,84.0,240,200.0,38.36562,37.99495,20.0,15.260001,9.81
6.3999968,84.0,240,200.0,42.408424,38.018257,20.0,15.260001,9.81
6.4999967,84.0,240,200.0,46.375923,37.95484,20.0,15.260001,9.81
6.5999966,84.0,240,200.0,50.260468,37.80641,20.0,15.260001,9.81
6.6999965,84.0,240,200.0,54.054733,37.574818,20.0,15.260001,9.81
6.7999964,84.0,240,200.0,57.751717,37.2621,20.0,15.260001,9.81
6.8999963,84.0,240,200.0,61.344807,36.870415,20.0,15.260001,9.81
6.999996,84.0,240,200.0,64.82766,36.402058,20.0,15.260001,9.81
7.099996,84.0,240,200.0,68.19438,35.85948,20.0,15.260001,9.81
7.199996,84.0,240,200.0,71.43939,35.24524,20.0,15.260001,9.81
7.299996,84.0,240,200.0,74.55753,34.56202,20.0,15.260001,9.81
7.399996,84.0,240,200.0,77.54399,33.812603,20.0,15.260001,9.81
7.4999957,84.0,240,200.0,80.39435,32.999893,20.0,15.260001,9.81
7.5999956,84.0,240,200.0,83.10459,32.126858,20.0,15.260001,9.81
7.6999955,84.0,240,200.0,85.671074,31.196568,20.0,15.260001,9.81
7.7999954,84.0,240,200.0,88.090546,30.212158,20.0,15.260001,9.81
7.8999953,84.0,240,200.0,90.36017,29.176834,20.0,15.260001,9.81
7.999995,84.0,240,200.0,92.47746,28.093863,20.0,15.260001,9.81
8.099996,84.0,240,200.0,94.44037,26.966558,20.0,15.260001,9.81
8.199996,84.0,240,200.0,96.24719,25.798265,20.0,15.260001,9.81
8.299996,84.0,240,200.0,97.896645,24.592386,20.0,15.260001,9.81
8.399997,84.0,240,200.0,99.38779,23.352325,20.0,15.260001,9.81
8.499997,84.0,240,200.0,100.720085,22.081512,20.0,15.260001,9.81
8.5999975,84.0,240,200.0,101.89338,20.783384,20.0,15.260001,9.81
8.699998,84.0,240,200.0,102.90784,19.461384,20.0,15.260001,9.81
8.799998,84.0,240,200.0,103.76402,18.118923,20.0,15.260001,9.81
8.899999,84.0,240,200.0,104.462814,16.75944,20.0,15.260001,9.81
8.999999,84.0,240,200.0,105.005486,15.3863,20.0,15.260001,9.81
9.099999,84.0,240,200.0,105.393585,14.002882,20.0,15.260001,9.81
9.2,84.0,240,200.0,105.62899,12.612515,20.0,15.260001,9.81
9.3,84.0,240,200.0,105.71393,11.218462,20.0,15.260001,9.81
9.400001,84.0,240,200.0,105.6509,9.823979,20.0,15.260001,9.81
9.500001,84.0,240,200.0,105.44271,8.432212,20.0,15.260001,9.81
9.600001,84.0,240,200.0,105.09243,7.0462947,20.0,15.260001,9.81
9.700002,84.0,240,200.0,104.60341,5.6692452,20.0,15.260001,9.81
9.800002,84.0,240,200.0,103.97925,4.3040566,20.0,15.260001,9.81
9.9000025,84.0,240,200.0,103.223785,2.9535866,20.0,15.260001,9.81
10.000003,84.0,240,200.0,102.341095,1.6206641,20.0,15.260001,9.81
10.100003,84.0,240,200.0,101.335464,0.3079729,20.0,15.260001,9.81
10.200004,84.0,240,200.0,100.21138,-0.9818435,20.0,15.260001,9.81
10.300004,84.0,240,200.0,98.97351,-2.2462935,20.0,15.260001,9.81
10.400004,84.0,240,200.0,97.62674,-3.4829373,20.0,15.260001,9.81
10.500005,84.0,240,200.0,96.17605,-4.6894927,20.0,15.260001,9.81
10.600005,84.0,240,200.0,94.62662,-5.863735,20.0,15.260001,9.81
10.700006,84.0,240,200.0,92.9837,-7.0036016,20.0,15.260001,9.81
10.800006,84.0,240,200.0,91.25276,-8.107102,20.0,15.260001,9.81
10.900006,84.0,240,200.0,89.43925,-9.172406,20.0,15.260001,9.81
11.000007,84.0,240,200.0,87.5488,-10.197755,20.0,15.260001,9.81
11.100007,84.0,240,200.0,85.58707,-11.181564,20.0,15.260001,9.81
11.200007,84.0,240,200.0,83.55981,-12.122321,20.0,15.260001,9.81
11.300008,84.0,240,200.0,81.47276,-13.018689,20.0,15.260001,9.81
11.400008,84.0,240,200.0,79.33178,-13.869405,20.0,15.260001,9.81
11.500009,84.0,240,200.0,77.142654,-14.673378,20.0,15.260001,9.81
11.600009,84.0,240,200.0,74.91124,-15.429617,20.0,15.260001,9.81
11.700009,84.0,240,200.0,72.64337,-16.137245,20.0,15.260001,9.81
11.80001,84.0,240,200.0,70.34482,-16.795551,20.0,15.260001,9.81
11.90001,84.0,240,200.0,68.021385,-17.403908,20.0,15.260001,9.81
12.0000105,84.0,240,200.0,65.67876,-17.961847,20.0,15.260001,9.81
12.100011,84.0,240,200.0,63.32263,-18.468994,20.0,15.260001,9.81
12.200011,84.0,240,200.0,60.958565,-18.92512,20.0,15.260001,9.81
12.300012,84.0,240,200.0,58.592094,-19.330091,20.0,15.260001,9.81
12.400012,84.0,240,200.0,56.22861,-19.683926,20.0,15.260001,9.81
12.500012,84.0,240,200.0,53.87346,-19.986717,20.0,15.260001,9.81
12.600013,84.0,240,200.0,51.531788,-20.238714,20.0,15.260001,9.81
12.700013,84.0,240,200.0,49.20872,-20.440243,20.0,15.260001,9.81
12.800014,84.0,240,200.0,46.909153,-20.591757,20.0,15.260001,9.81
12.900014,84.0,240,200.0,44.637924,-20.693806,20.0,15.260001,9.81
13.000014,84.0,240,200.0,42.39964,-20.747053,20.0,15.260001,9.81
13.100015,84.0,240,200.0,40.19883,-20.752249,20.0,15.260001,9.81
13.200015,84.0,240,200.0,38.03978,-20.71024,20.0,15.260001,9.81
13.300015,84.0,240,200.0,35.926678,-20.621979,20.0,15.260001,9.81
13.400016,84.0,240,200.0,33.863457,-20.48849,20.0,15.260001,9.81
13.500016,84.0,240,200.0,31.853947,-20.310886,20.0,15.260001,9.81
13.600017,84.0,240,200.0,29.901703,-20.090366,20.0,15.260001,9.81
13.700017,84.0,240,200.0,28.01017,-19.828201,20.0,15.260001,9.81
13.800017,84.0,240,200.0,26.182512,-19.525728,20.0,15.260001,9.81
13.900018,84.0,240,200.0,24.421768,-19.18437,20.0,15.260001,9.81
14.000018,84.0,240,200.0,22.730701,-18.80558,20.0,15.260001,9.81
14.1000185,84.0,240,200.0,21.111914,-18.390905,20.0,15.260001,9.81
14.200019,84.0,240,200.0,19.567806,-17.941929,20.0,15.260001,9.81
14.300019,84.0,240,200.0,18.100502,-17.460278,20.0,15.260001,9.81
14.40002,84.0,240,200.0,16.711988,-16.947643,20.0,15.260001,9.81
14.50002,84.0,240,200.0,15.403973,-16.405737,20.0,15.260001,9.81
14.60002,84.0,240,200.0,14.178007,-15.836316,20.0,15.260001,9.81
14.700021,84.0,240,200.0,13.035376,-15.241165,20.0,15.260001,9.81
14.800021,84.0,240,200.0,11.977209,-14.622103,20.0,15.260001,9.81
14.900022,84.0,240,200.0,11.004358,-13.980956,20.0,15.260001,9.81
15.000022,84.0,240,200.0,10.117519,-13.319587,20.0,15.260001,9.81
15.100022,84.0,240,200.0,9.317154,-12.639846,20.0,15.260001,9.81
15.200023,84.0,240,200.0,8.603542,-11.94362,20.0,15.260001,9.81
15.300023,84.0,240,200.0,7.9767303,-11.232769,20.0,15.260001,9.81
15.400023,84.0,240,200.0,7.436592,-10.509191,20.0,15.260001,9.81
15.500024,84.0,240,200.0,6.982792,-9.774733,20.0,15.260001,9.81
15.600024,84.0,240,200.0,6.614811,-9.031278,20.0,15.260001,9.81
15.700025,84.0,240,200.0,6.3319473,-8.280659,20.0,15.260001,9.81
15.800025,84.0,240,200.0,6.13332,-7.52472,20.0,15.260001,9.81
15.900025,84.0,240,200.0,6.017853,-6.7652636,20.0,15.260001,9.81
16.000025,84.0,240,200.0,5.984329,-6.004096,20.0,15.260001,9.81
16.100025,84.0,240,200.0,6.031353,-5.2429457,20.0,15.260001,9.81
16.200026,84.0,240,200.0,6.1573677,-4.4835625,20.0,15.260001,9.81
16.300026,84.0,240,200.0,6.3606644,-3.7276247,20.0,15.260001,9.81
16.400026,84.0,240,200.0,6.639408,-2.976792,20.0,15.260001,9.81
16.500027,84.0,240,200.0,6.9916,-2.2326858,20.0,15.260001,9.81
16.600027,84.0,240,200.0,7.4151344,-1.4968596,20.0,15.260001,9.81
16.700027,84.0,240,200.0,7.907757,-0.77084994,20.0,15.260001,9.81
16.800028,84.0,240,200.0,8.4671135,-0.056114197,20.0,15.260001,9.81
16.900028,84.0,240,200.0,9.090736,0.6459142,20.0,15.260001,9.81
17.000029,84.0,240,200.0,9.776064,1.3338826,20.0,15.260001,9.81
17.100029,84.0,240,200.0,10.52043,2.0064752,20.0,15.260001,9.81
17.20003,84.0,240,200.0,11.321072,2.662435,20.0,15.260001,9.81
17.30003,84.0,240,200.0,12.175175,3.3005776,20.0,15.260001,9.81
17.40003,84.0,240,200.0,13.07983,3.919775,20.0,15.260001,9.81
17.50003,84.0,240,200.0,14.032106,4.518974,20.0,15.260001,9.81
17.60003,84.0,240,200.0,15.028952,5.097146,20.0,15.260001,9.81
17.700031,84.0,240,200.0,16.067312,5.653373,20.0,15.260001,9.81
17.800032,84.0,240,200.0,17.144094,6.186782,20.0,15.260001,9.81
17.900032,84.0,240,200.0,18.256178,6.6965847,20.0,15.260001,9.81
18.000032,84.0,240,200.0,19.400366,7.182027,20.0,15.260001,9.81
18.100033,84.0,240,200.0,20.573513,7.642452,20.0,15.260001,9.81
18.200033,84.0,240,200.0,21.772423,8.077266,20.0,15.260001,9.81
18.300034,84.0,240,200.0,22.993944,8.4859495,20.0,15.260001,9.81
18.400034,84.0,240,200.0,24.234852,8.868027,20.0,15.260001,9.81
18.500034,84.0,240,200.0,25.491997,9.223117,20.0,15.260001,9.81
18.600035,84.0,240,200.0,26.762247,9.550896,20.0,15.260001,9.81
18.700035,84.0,240,200.0,28.042496,9.851121,20.0,15.260001,9.81
18.800035,84.0,240,200.0,29.329615,10.123587,20.0,15.260001,9.81
18.900036,84.0,240,200.0,30.62058,10.368182,20.0,15.260001,9.81
19.000036,84.0,240,200.0,31.91242,10.584859,20.0,15.260001,9.81
19.100037,84.0,240,200.0,33.202137,10.773614,20.0,15.260001,9.81
19.200037,84.0,240,200.0,34.486862,10.934525,20.0,15.260001,9.81
19.300037,84.0,240,200.0,35.763775,11.067729,20.0,15.260001,9.81
19.400038,84.0,240,200.0,37.03014,11.173419,20.0,15.260001,9.81
19.500038,84.0,240,200.0,38.28322,11.251848,20.0,15.260001,9.81
19.600039,84.0,240,200.0,39.52043,11.3033285,20.0,15.260001,9.81
19.700039,84.0,240,200.0,40.739258,11.328225,20.0,15.260001,9.81
19.80004,84.0,240,200.0,41.937283,11.326964,20.0,15.260001,9.81
19.90004,84.0,240,200.0,43.11211,11.300009,20.0,15.260001,9.81
20.00004,84.0,240,200.0,44.261517,11.247889,20.0,15.260001,9.81
20.10004,84.0,240,200.0,45.38335,11.171172,20.0,15.260001,9.81
20.20004,84.0,240,200.0,46.47558,11.070475,20.0,15.260001,9.81
20.300041,84.0,240,200.0,47.53621,10.946456,20.0,15.260001,9.81
20.400042,84.0,240,200.0,48.563423,10.799812,20.0,15.260001,9.81
20.500042,84.0,240,200.0,49.555496,10.631288,20.0,15.260001,9.81
20.600042,84.0,240,200.0,50.51082,10.441653,20.0,15.260001,9.81
20.700043,84.0,240,200.0,51.42784,10.231721,20.0,15.260001,9.81
20.800043,84.0,240,200.0,52.305195,10.002333,20.0,15.260001,9.81
20.900043,84.0,240,200.0,53.141598,9.754355,20.0,15.260001,9.81
21.000044,84.0,240,200.0,53.935905,9.488686,20.0,15.260001,9.81
21.100044,84.0,240,200.0,54.68703,9.206246,20.0,15.260001,9.81
21.200045,84.0,240,200.0,55.394066,8.907979,20.0,15.260001,9.81
21.300045,84.0,240,200.0,56.0562,8.594846,20.0,15.260001,9.81
21.400045,84.0,240,200.0,56.67274,8.2678175,20.0,15.260001,9.81
21.500046,84.0,240,200.0,57.24308,7.9278946,20.0,15.260001,9.81
21.600046,84.0,240,200.0,57.766777,7.5760784,20.0,15.260001,9.81
21.700047,84.0,240,200.0,58.243484,7.213372,20.0,15.260001,9.81
21.800047,84.0,240,200.0,58.672935,6.840808,20.0,15.260001,9.81
21.900047,84.0,240,200.0,59.055027,6.459404,20.0,15.260001,9.81
22.000048,84.0,240,200.0,59.389732,6.070181,20.0,15.260001,9.81
22.100048,84.0,240,200.0,59.67715,5.674158,20.0,15.260001,9.81
22.200048,84.0,240,200.0,59.91747,5.272371,20.0,15.260001,9.81
22.300049,84.0,240,200.0,60.110985,4.865826,20.0,15.260001,9.81
22.40005,84.0,240,200.0,60.25811,4.4555345,20.0,15.260001,9.81
22.50005,84.0,240,200.0,60.35934,4.0424833,20.0,15.260001,9.81
22.60005,84.0,240,200.0,60.415268,3.6276784,20.0,15.260001,9.81
22.70005,84.0,240,200.0,60.42657,3.2120833,20.0,15.260001,9.81
22.80005,84.0,240,200.0,60.394035,2.7966561,20.0,15.260001,9.81
22.900051,84.0,240,200.0,60.31852,2.3823295,20.0,15.260001,9.81
23.000051,84.0,240,200.0,60.200966,1.9700387,20.0,15.260001,9.81
23.100052,84.0,240,200.0,60.042393,1.5606763,20.0,15.260001,9.81
23.200052,84.0,240,200.0,59.8439,1.1551179,20.0,15.260001,9.81
23.300053,84.0,240,200.0,59.60665,0.75420964,20.0,15.260001,9.81
23.400053,84.0,240,200.0,59.33189,0.3587923,20.0,15.260001,9.81
23.500053,84.0,240,200.0,59.020897,-0.03034246,20.0,15.260001,9.81
23.600054,84.0,240,200.0,58.675045,-0.41242367,20.0,15.260001,9.81
23.700054,84.0,240,200.0,58.295727,-0.7867189,20.0,15.260001,9.81
23.800055,84.0,240,200.0,57.884422,-1.1525031,20.0,15.260001,9.81
23.900055,84.0,240,200.0,57.442635,-1.5091057,20.0,15.260001,9.81
24.000055,84.0,240,200.0,56.9719,-1.8558896,20.0,15.260001,9.81
24.100056,84.0,240,200.0,56.473827,-2.1922295,20.0,15.260001,9.81
24.200056,84.0,240,200.0,55.950024,-2.5175552,20.0,15.260001,9.81
24.300056,84.0,240,200.0,55.40215,-2.8313286,20.0,15.260001,9.81
24.400057,84.0,240,200.0,54.831863,-3.13305,20.0,15.260001,9.81
24.500057,84.0,240,200.0,54.24088,-3.4222362,20.0,15.260001,9.81
24.600058,84.0,240,200.0,53.63091,-3.6984653,20.0,15.260001,9.81
24.700058,84.0,240,200.0,53.00367,-3.9613397,20.0,15.260001,9.81
24.800058,84.0,240,200.0,52.360893,-4.210511,20.0,15.260001,9.81
24.900059,84.0,240,200.0,51.70433,-4.4456453,20.0,15.260001,9.81
25.00006,84.0,240,200.0,51.035713,-4.6664696,20.0,15.260001,9.81
25.10006,84.0,240,200.0,50.356773,-4.8727374,20.0,15.260001,9.81
25.20006,84.0,240,200.0,49.669228,-5.064245,20.0,15.260001,9.81
25.30006,84.0,240,200.0,48.97481,-5.240817,20.0,15.260001,9.81
25.40006,84.0,240,200.0,48.275215,-5.402323,20.0,15.260001,9.81
25.500061,84.0,240,200.0,47.572124,-5.548668,20.0,15.260001,9.81
25.600061,84.0,240,200.0,46.867176,-5.6797934,20.0,15.260001,9.81
25.700062,84.0,240,200.0,46.162033,-5.7956686,20.0,15.260001,9.81
25.800062,84.0,240,200.0,45.45829,-5.8963103,20.0,15.260001,9.81
25.900063,84.0,240,200.0,44.757515,-5.9817586,20.0,15.260001,9.81
26.000063,84.0,240,200.0,44.061234,-6.052099,20.0,15.260001,9.81
26.100063,84.0,240,200.0,43.37097,-6.107437,20.0,15.260001,9.81
26.200064,84.0,240,200.0,42.688175,-6.147917,20.0,15.260001,9.81
26.300064,84.0,240,200.0,42.01426,-6.173716,20.0,15.260001,9.81
26.400064,84.0,240,200.0,41.350586,-6.1850376,20.0,15.260001,9.81
26.500065,84.0,240,200.0,40.698498,-6.1821165,20.0,15.260001,9.81
26.600065,84.0,240,200.0,40.059254,-6.1652136,20.0,15.260001,9.81
26.700066,84.0,240,200.0,39.434067,-6.1346207,20.0,15.260001,9.81
26.800066,84.0,240,200.0,38.824127,-6.0906515,20.0,15.260001,9.81
26.900066,84.0,240,200.0,38.230534,-6.0336437,20.0,15.260001,9.81
27.000067,84.0,240,200.0,37.654335,-5.963965,20.0,15.260001,9.81
27.100067,84.0,240,200.0,37.096523,-5.881997,20.0,15.260001,9.81
27.200068,84.0,240,200.0,36.558052,-5.78815,20.0,15.260001,9.81
27.300068,84.0,240,200.0,36.039787,-5.6828485,20.0,15.260001,9.81
27.400068,84.0,240,200.0,35.542545,-5.566537,20.0,15.260001,9.81
27.500069,84.0,240,200.0,35.06706,-5.439676,20.0,15.260001,9.81
27.600069,84.0,240,200.0,34.614048,-5.3027444,20.0,15.260001,9.81
27.70007,84.0,240,200.0,34.18412,-5.1562347,20.0,15.260001,9.81
27.80007,84.0,240,200.0,33.77784,-5.000651,20.0,15.260001,9.81
27.90007,84.0,240,200.0,33.395695,-4.8365045,20.0,15.260001,9.81
28.00007,84.0,240,200.0,33.038136,-4.664328,20.0,15.260001,9.81
28.10007,84.0,240,200.0,32.70553,-4.484654,20.0,15.260001,9.81
28.200071,84.0,240,200.0,32.398174,-4.298026,20.0,15.260001,9.81
28.300072,84.0,240,200.0,32.116314,-4.104987,20.0,15.260001,9.81
28.400072,84.0,240,200.0,31.86015,-3.906098,20.0,15.260001,9.81
28.500072,84.0,240,200.0,31.629784,-3.7019126,20.0,15.260001,9.81
28.600073,84.0,240,200.0,31.425282,-3.492988,20.0,15.260001,9.81
28.700073,84.0,240,200.0,31.246635,-3.2798815,20.0,15.260001,9.81
28.800074,84.0,240,200.0,31.093803,-3.0631576,20.0,15.260001,9.81
28.900074,84.0,240,200.0,30.966656,-2.843371,20.0,15.260001,9.81
29.000074,84.0,240,200.0,30.865023,-2.6210704,20.0,15.260001,9.81
29.100075,84.0,240,200.0,30.788681,-2.3968139,20.0,15.260001,9.81
29.200075,84.0,240,200.0,30.737347,-2.171142,20.0,15.260001,9.81
29.300076,84.0,240,200.0,30.710691,-1.9445918,20.0,15.260001,9.81
29.400076,84.0,240,200.0,30.708323,-1.7176898,20.0,15.260001,9.81
29.500076,84.0,240,200.0,30.72982,-1.4909652,20.0,15.260001,9.81
29.600077,84.0,240,200.0,30.774704,-1.2649252,20.0,15.260001,9.81
29.700077,84.0,240,200.0,30.842451,-1.0400715,20.0,15.260001,9.81
29.800077,84.0,240,200.0,30.932499,-0.81688803,20.0,15.260001,9.81
29.900078,84.0,240,200.0,31.044243,-0.59586024,20.0,15.260001,9.81
30.000078,84.0,240,200.0,31.177036,-0.37744695,20.0,15.260001,9.81
30.100079,84.0,240,200.0,31.330204,-0.16209716,20.0,15.260001,9.81
30.200079,84.0,240,200.0,31.503033,0.049759924,20.0,15.260001,9.81
30.30008,84.0,240,200.0,31.694773,0.2576971,20.0,15.260001,9.81
30.40008,84.0,240,200.0,31.904654,0.46131727,20.0,15.260001,9.81
30.50008,84.0,240,200.0,32.131874,0.6602357,20.0,15.260001,9.81
30.60008,84.0,240,200.0,32.375603,0.85408926,20.0,15.260001,9.81
30.70008,84.0,240,200.0,32.634995,1.0425208,20.0,15.260001,9.81
30.800081,84.0,240,200.0,32.909176,1.2252035,20.0,15.260001,9.81
30.900082,84.0,240,200.0,33.197258,1.4018266,20.0,15.260001,9.81
31.000082,84.0,240,200.0,33.49835,1.5721008,20.0,15.260001,9.81
31.100082,84.0,240,200.0,33.811512,1.7357471,20.0,15.260001,9.81
31.200083,84.0,240,200.0,34.135834,1.8925161,20.0,15.260001,9.81
31.300083,84.0,240,200.0,34.470375,2.042175,20.0,15.260001,9.81
31.400084,84.0,240,200.0,34.814198,2.1845162,20.0,15.260001,9.81
31.500084,84.0,240,200.0,35.166344,2.3193395,20.0,15.260001,9.81
31.600084,84.0,240,200.0,35.52587,2.4464788,20.0,15.260001,9.81
31.700085,84.0,240,200.0,35.891834,2.5657861,20.0,15.260001,9.81
31.800085,84.0,240,200.0,36.26328,2.6771238,20.0,15.260001,9.81
31.900085,84.0,240,200.0,36.639267,2.7803874,20.0,15.260001,9.81
32.000084,84.0,240,200.0,37.018856,2.8754835,20.0,15.260001,9.81
32.100082,84.0,240,200.0,37.401134,2.9623482,20.0,15.260001,9.81
