Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
1.1,45.0,168,240.0,0.15911445,0.09164992,12.0,1.35,1.62
1.1999999,45.0,168,240.0,0.33388025,0.100665085,12.0,1.35,1.62
1.3,45.0,168,240.0,0.52425075,0.109653436,12.0,1.35,1.62
1.4,45.0,168,240.0,0.73017883,0.11861455,12.0,1.35,1.62
1.5,45.0,168,240.0,0.95161855,0.12754929,12.0,1.35,1.62
1.6000001,45.0,168,240.0,1.1885234,0.13645722,12.0,1.35,1.62
1.7000002,45.0,168,240.0,1.4408472,0.14533834,12.0,1.35,1.62
1.8000002,45.0,168,240.0,1.7085438,0.15419333,12.0,1.35,1.62
1.9000002,45.0,168,240.0,1.9915676,0.16302173,12.0,1.35,1.62
2.0000002,45.0,168,240.0,2.2898726,0.17182375,12.0,1.35,1.62
2.1000004,45.0,168,240.0,2.6034133,0.1805994,12.0,1.35,1.62
2.2000003,45.0,168,240.0,2.9321442,0.18934892,12.0,1.35,1.62
2.3000004,45.0,168,240.0,3.2760196,0.19807227,12.0,1.35,1.62
2.4000006,45.0,168,240.0,3.6349945,0.2067695,12.0,1.35,1.62
2.5000005,45.0,168,240.0,4.009023,0.2154408,12.0,1.35,1.62
2.6000004,45.0,168,240.0,4.398062,0.22408637,12.0,1.35,1.62
2.7000003,45.0,168,240.0,4.8020654,0.2327058,12.0,1.35,1.62
2.8000002,45.0,168,240.0,5.2209888,0.24129976,12.0,1.35,1.62
2.9,45.0,168,240.0,5.654787,0.24986798,12.0,1.35,1.62
3.0,45.0,168,240.0,6.1034164,0.2584105,12.0,1.35,1.62
3.1,45.0,168,240.0,6.566833,0.26692778,12.0,1.35,1.62
3.1999998,45.0,168,240.0,7.0449915,0.27541953,12.0,1.35,1.62
3.2999997,45.0,168,240.0,7.5378494,0.28388584,12.0,1.35,1.62
3.3999996,45.0,168,240.0,8.0453615,0.29232684,12.0,1.35,1.62
3.4999995,45.0,168,240.0,8.567483,0.3007426,12.0,1.35,1.62
3.5999994,45.0,168,240.0,9.104174,0.3091335,12.0,1.35,1.62
3.6999993,45.0,168,240.0,9.655387,0.31749892,12.0,1.35,1.62
3.7999992,45.0,168,240.0,10.22108,0.32583955,12.0,1.35,1.62
3.8999991,45.0,168,240.0,10.80121,0.33415532,12.0,1.35,1.62
3.999999,45.0,168,240.0,11.395735,0.34244603,12.0,1.35,1.62
4.099999,45.0,168,240.0,12.00461,0.35071236,12.0,1.35,1.62
4.199999,45.0,168,240.0,12.627795,0.35895386,12.0,1.35,1.62
4.2999988,45.0,168,240.0,13.265244,0.36717078,12.0,1.35,1.62
4.3999987,45.0,168,240.0,13.916916,0.37536305,12.0,1.35,1.62
4.4999986,45.0,168,240.0,14.582769,0.38353074,12.0,1.35,1.62
4.5999985,45.0,168,240.0,15.262759,0.39167422,12.0,1.35,1.62
