Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
4.3999987,54.0,168,240.0,-3.7002563E-4,29.658875,12.0,9.810001,9.81
4.4999986,54.0,168,240.0,4.20623,30.144176,12.0,9.810001,9.81
4.5999985,54.0,168,240.0,8.4207115,30.557829,12.0,9.810001,9.81
4.6999984,54.0,168,240.0,12.6341095,30.90027,12.0,9.810001,9.81
4.7999983,54.0,168,240.0,16.837692,31.172054,12.0,9.810001,9.81
4.899998,54.0,168,240.0,21.022823,31.373882,12.0,9.810001,9.81
4.999998,54.0,168,240.0,25.181122,31.506588,12.0,9.810001,9.81
5.099998,54.0,168,240.0,29.30436,31.571136,12.0,9.810001,9.81
5.199998,54.0,168,240.0,33.384598,31.568619,12.0,9.810001,9.81
5.299998,54.0,168,240.0,37.41404,31.50024,12.0,9.810001,9.81
5.3999977,54.0,168,240.0,41.38524,31.367327,12.0,9.810001,9.81
5.4999976,54.0,168,240.0,45.290897,31.171314,12.0,9.810001,9.81
5.5999975,54.0,168,240.0,49.12409,30.913744,12.0,9.810001,9.81
5.6999974,54.0,168,240.0,52.878067,30.596262,12.0,9.810001,9.81
5.7999973,54.0,168,240.0,56.54646,30.2206,12.0,9.810001,9.81
5.899997,54.0,168,240.0,60.123093,29.788599,12.0,9.810001,9.81
5.999997,54.0,168,240.0,63.602203,29.302147,12.0,9.810001,9.81
6.099997,54.0,168,240.0,66.978226,28.763264,12.0,9.810001,9.81
6.199997,54.0,168,240.0,70.246,28.173998,12.0,9.810001,9.81
6.299997,54.0,168,240.0,73.40063,27.536499,12.0,9.810001,9.81
6.3999968,54.0,168,240.0,76.43757,26.85295,12.0,9.810001,9.81
6.4999967,54.0,168,240.0,79.35257,26.125607,12.0,9.810001,9.81
6.5999966,54.0,168,240.0,82.14177,25.356781,12.0,9.810001,9.81
6.6999965,54.0,168,240.0,84.80156,24.548813,12.0,9.810001,9.81
6.7999964,54.0,168,240.0,87.32876,23.704098,12.0,9.810001,9.81
6.8999963,54.0,168,240.0,89.72043,22.825064,12.0,9.810001,9.81
6.999996,54.0,168,240.0,91.97403,21.914146,12.0,9.810001,9.81
7.099996,54.0,168,240.0,94.08734,20.973837,12.0,9.810001,9.81
7.199996,54.0,168,240.0,96.05846,20.006613,12.0,9.810001,9.81
7.299996,54.0,168,240.0,97.8858,19.014988,12.0,9.810001,9.81
7.399996,54.0,168,240.0,99.56818,18.001455,12.0,9.810001,9.81
7.4999957,54.0,168,240.0,101.10463,16.968536,12.0,9.810001,9.81
7.5999956,54.0,168,240.0,102.49461,15.918733,12.0,9.810001,9.81
7.6999955,54.0,168,240.0,103.73782,14.854538,12.0,9.810001,9.81
7.7999954,54.0,168,240.0,104.83431,13.778428,12.0,9.810001,9.81
7.8999953,54.0,168,240.0,105.784424,12.692876,12.0,9.810001,9.81
7.999995,54.0,168,240.0,106.58879,11.600299,12.0,9.810001,9.81
8.099996,54.0,168,240.0,107.248375,10.5031185,12.0,9.810001,9.81
8.199996,54.0,168,240.0,107.76437,9.403696,12.0,9.810001,9.81
8.299996,54.0,168,240.0,108.13829,8.304379,12.0,9.810001,9.81
8.399997,54.0,168,240.0,108.37191,7.20745,12.0,9.810001,9.81
8.499997,54.0,168,240.0,108.46724,6.1151686,12.0,9.810001,9.81
8.5999975,54.0,168,240.0,108.426575,5.029727,12.0,9.810001,9.81
8.699998,54.0,168,240.0,108.25244,3.9532566,12.0,9.810001,9.81
8.799998,54.0,168,240.0,107.9476,2.887865,12.0,9.810001,9.81
8.899999,54.0,168,240.0,107.51503,1.835557,12.0,9.810001,9.81
8.999999,54.0,168,240.0,106.95792,0.7983074,12.0,9.810001,9.81
