Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
1.1,54.0,168,240.0,0.8945557,0.51526403,12.0,9.810001,9.81
1.1999999,54.0,168,240.0,1.8699765,0.5618424,12.0,9.810001,9.81
1.3,54.0,168,240.0,2.9248104,0.60758436,12.0,9.810001,9.81
1.4,54.0,168,240.0,4.0576324,0.6525053,12.0,9.810001,9.81
1.5,54.0,168,240.0,5.267042,0.69662,12.0,9.810001,9.81
1.6000001,54.0,168,240.0,6.551666,0.739943,12.0,9.810001,9.81
1.7000002,54.0,168,240.0,7.910153,0.78248864,12.0,9.810001,9.81
1.8000002,54.0,168,240.0,9.341178,0.82427055,12.0,9.810001,9.81
1.9000002,54.0,168,240.0,10.843439,0.8653025,12.0,9.810001,9.81
2.0000002,54.0,168,240.0,12.415658,0.9055979,12.0,9.810001,9.81
2.1000004,54.0,168,240.0,14.056579,0.94517004,12.0,9.810001,9.81
2.2000003,54.0,168,240.0,15.764967,0.9840322,12.0,9.810001,9.81
2.3000004,54.0,168,240.0,17.539614,1.0221967,12.0,9.810001,9.81
2.4000006,54.0,168,240.0,19.37933,1.059676,12.0,9.810001,9.81
2.5000005,54.0,168,240.0,21.282948,1.0964831,12.0,9.810001,9.81
2.6000004,54.0,168,240.0,23.249317,1.1326293,12.0,9.810001,9.81
2.7000003,54.0,168,240.0,25.277313,1.1681268,12.0,9.810001,9.81
2.8000002,54.0,168,240.0,27.365833,1.2029868,12.0,9.810001,9.81
2.9,54.0,168,240.0,29.513788,1.2372215,12.0,9.810001,9.81
3.0,54.0,168,240.0,31.720112,1.2708417,12.0,9.810001,9.81
3.1,54.0,168,240.0,33.983753,1.3038585,12.0,9.810001,9.81
3.1999998,54.0,168,240.0,36.30369,1.3362827,12.0,9.810001,9.81
3.2999997,54.0,168,240.0,38.67891,1.3681247,12.0,9.810001,9.81
3.3999996,54.0,168,240.0,41.108418,1.3993956,12.0,9.810001,9.81
3.4999995,54.0,168,240.0,43.59124,1.4301051,12.0,9.810001,9.81
3.5999994,54.0,168,240.0,46.126415,1.4602634,12.0,9.810001,9.81
3.6999993,54.0,168,240.0,48.713017,1.4898802,12.0,9.810001,9.81
3.7999992,54.0,168,240.0,51.35011,1.5189656,12.0,9.810001,9.81
3.8999991,54.0,168,240.0,54.03679,1.5475289,12.0,9.810001,9.81
3.999999,54.0,168,240.0,56.772167,1.5755796,12.0,9.810001,9.81
4.099999,54.0,168,240.0,59.555378,1.6031269,12.0,9.810001,9.81
4.199999,54.0,168,240.0,62.38555,1.6301798,12.0,9.810001,9.81
4.2999988,54.0,168,240.0,65.26185,1.6567471,12.0,9.810001,9.81
4.3999987,54.0,168,240.0,68.18344,1.6828375,12.0,9.810001,9.81
