Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
7.7999954,105.0,456,240.0,-0.0014147758,40.84912,162.0,19.075,9.81
7.8999953,105.0,456,240.0,3.992217,41.436005,162.0,19.075,9.81
7.999995,105.0,456,240.0,7.949792,41.388535,162.0,19.075,9.81
8.099996,105.0,456,240.0,11.812376,40.71881,162.0,19.075,9.81
8.199996,105.0,456,240.0,15.52355,39.44807,162.0,19.075,9.81
8.299996,105.0,456,240.0,19.030107,37.606255,162.0,19.075,9.81
8.399997,105.0,456,240.0,22.28295,35.23133,162.0,19.075,9.81
8.499997,105.0,456,240.0,25.237686,32.3686,162.0,19.075,9.81
8.5999975,105.0,456,240.0,27.85514,29.069962,162.0,19.075,9.81
8.699998,105.0,456,240.0,30.101978,25.39288,162.0,19.075,9.81
8.799998,105.0,456,240.0,31.951042,21.399475,162.0,19.075,9.81
8.899999,105.0,456,240.0,33.381607,17.1556,162.0,19.075,9.81
8.999999,105.0,456,240.0,34.379654,12.729617,162.0,19.075,9.81
9.099999,105.0,456,240.0,34.937935,8.191395,162.0,19.075,9.81
9.2,105.0,456,240.0,35.055916,3.6113396,162.0,19.075,9.81
9.3,105.0,456,240.0,34.73974,-0.9408846,162.0,19.075,9.81
9.400001,105.0,456,240.0,34.00195,-5.397272,162.0,19.075,9.81
