Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
4.6999984,61.0,187,240.0,0.003452301,30.950678,12.0,11.081667,9.81
4.7999983,61.0,187,240.0,4.4979973,31.400513,12.0,11.081667,9.81
4.899998,61.0,187,240.0,8.994869,31.784836,12.0,11.081667,9.81
4.999998,61.0,187,240.0,13.485767,32.104126,12.0,11.081667,9.81
5.099998,61.0,187,240.0,17.96265,32.35896,12.0,11.081667,9.81
5.199998,61.0,187,240.0,22.417526,32.550037,12.0,11.081667,9.81
5.299998,61.0,187,240.0,26.842625,32.678143,12.0,11.081667,9.81
5.3999977,61.0,187,240.0,31.230446,32.744186,12.0,11.081667,9.81
5.4999976,61.0,187,240.0,35.573578,32.74914,12.0,11.081667,9.81
5.5999975,61.0,187,240.0,39.86493,32.694107,12.0,11.081667,9.81
5.6999974,61.0,187,240.0,44.097546,32.580265,12.0,11.081667,9.81
5.7999973,61.0,187,240.0,48.264732,32.40887,12.0,11.081667,9.81
5.899997,61.0,187,240.0,52.360077,32.18128,12.0,11.081667,9.81
5.999997,61.0,187,240.0,56.37734,31.8989,12.0,11.081667,9.81
6.099997,61.0,187,240.0,60.31061,31.563248,12.0,11.081667,9.81
6.199997,61.0,187,240.0,64.15419,31.175888,12.0,11.081667,9.81
6.299997,61.0,187,240.0,67.902626,30.738455,12.0,11.081667,9.81
6.3999968,61.0,187,240.0,71.55082,30.252653,12.0,11.081667,9.81
6.4999967,61.0,187,240.0,75.09386,29.720226,12.0,11.081667,9.81
6.5999966,61.0,187,240.0,78.527176,29.143002,12.0,11.081667,9.81
6.6999965,61.0,187,240.0,81.84645,28.52283,12.0,11.081667,9.81
6.7999964,61.0,187,240.0,85.04764,27.861618,12.0,11.081667,9.81
6.8999963,61.0,187,240.0,88.127045,27.16131,12.0,11.081667,9.81
6.999996,61.0,187,240.0,91.08121,26.423891,12.0,11.081667,9.81
7.099996,61.0,187,240.0,93.90694,25.651379,12.0,11.081667,9.81
7.199996,61.0,187,240.0,96.60141,24.845812,12.0,11.081667,9.81
7.299996,61.0,187,240.0,99.16203,24.009258,12.0,11.081667,9.81
7.399996,61.0,187,240.0,101.58655,23.143799,12.0,11.081667,9.81
7.4999957,61.0,187,240.0,103.87294,22.251541,12.0,11.081667,9.81
7.5999956,61.0,187,240.0,106.0195,21.334602,12.0,11.081667,9.81
7.6999955,61.0,187,240.0,108.02486,20.395094,12.0,11.081667,9.81
7.7999954,61.0,187,240.0,109.88781,19.435146,12.0,11.081667,9.81
7.8999953,61.0,187,240.0,111.60756,18.456879,12.0,11.081667,9.81
7.999995,61.0,187,240.0,113.18352,17.462404,12.0,11.081667,9.81
8.099996,61.0,187,240.0,114.61539,16.453842,12.0,11.081667,9.81
8.199996,61.0,187,240.0,115.90312,15.43328,12.0,11.081667,9.81
8.299996,61.0,187,240.0,117.04695,14.402806,12.0,11.081667,9.81
8.399997,61.0,187,240.0,118.04738,13.364486,12.0,11.081667,9.81
8.499997,61.0,187,240.0,118.905136,12.320353,12.0,11.081667,9.81
8.5999975,61.0,187,240.0,119.621216,11.27243,12.0,11.081667,9.81
8.699998,61.0,187,240.0,120.19687,10.22269,12.0,11.081667,9.81
8.799998,61.0,187,240.0,120.633545,9.173101,12.0,11.081667,9.81
8.899999,61.0,187,240.0,120.93294,8.125565,12.0,11.081667,9.81
