Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
4.3999987,105.0,168,130.0,0.0017623901,29.659575,12.0,19.075,9.81
4.4999986,105.0,168,130.0,4.1842117,29.87936,12.0,19.075,9.81
4.5999985,105.0,168,130.0,8.381058,30.06246,12.0,19.075,9.81
4.6999984,105.0,168,130.0,12.587471,30.209322,12.0,19.075,9.81
4.7999983,105.0,168,130.0,16.798676,30.32044,12.0,19.075,9.81
4.899998,105.0,168,130.0,21.009949,30.396336,12.0,19.075,9.81
4.999998,105.0,168,130.0,25.216702,30.437557,12.0,19.075,9.81
5.099998,105.0,168,130.0,29.414375,30.444675,12.0,19.075,9.81
5.199998,105.0,168,130.0,33.598545,30.418304,12.0,19.075,9.81
5.299998,105.0,168,130.0,37.764866,30.359072,12.0,19.075,9.81
5.3999977,105.0,168,130.0,41.909103,30.267632,12.0,19.075,9.81
5.4999976,105.0,168,130.0,46.027092,30.144653,12.0,19.075,9.81
5.5999975,105.0,168,130.0,50.114803,29.990852,12.0,19.075,9.81
5.6999974,105.0,168,130.0,54.168297,29.806938,12.0,19.075,9.81
5.7999973,105.0,168,130.0,58.183746,29.593662,12.0,19.075,9.81
5.899997,105.0,168,130.0,62.157436,29.351778,12.0,19.075,9.81
5.999997,105.0,168,130.0,66.085754,29.08207,12.0,19.075,9.81
6.099997,105.0,168,130.0,69.96521,28.78533,12.0,19.075,9.81
6.199997,105.0,168,130.0,73.79243,28.462372,12.0,19.075,9.81
6.299997,105.0,168,130.0,77.56416,28.11401,12.0,19.075,9.81
6.3999968,105.0,168,130.0,81.27728,27.741098,12.0,19.075,9.81
