Tiempo (s);Masa (kg);Cantidad de Cuerda (m);Altura (m);Posicion (m);Velocidad (m/s);Constante de Elasticidad (N/m);Constante del Aire;Gravedad (m/s2)
13.000.014;105.0;240;240.0;-33.048.725;-11.581.725;200.0;19.075;9.81
13.100.015;105.0;240;240.0;-4.325.429;-965.931;200.0;19.075;9.81
13.200.015;105.0;240;240.0;-5.150.943;-75.912.094;200.0;19.075;9.81
13.300.015;105.0;240;240.0;-57.695;-54.186.335;200.0;19.075;9.81
13.400.016;105.0;240;240.0;-6.173.278;-31.839.812;200.0;19.075;9.81
13.500.016;105.0;240;240.0;-6.358.594;-0.9300802;200.0;19.075;9.81
13.600.017;105.0;240;240.0;-6.325.925;1.300.746;200.0;19.075;9.81
13.700.017;105.0;240;240.0;-60.797.844;34.672.706;200.0;19.075;9.81
13.800.017;105.0;240;240.0;-5.628.603;55.302.086;200.0;19.075;9.81
13.900.018;105.0;240;240.0;-49.844.666;7.453;200.0;19.075;9.81
14.000.018;105.0;240;240.0;-4.162.855;9.202.264;200.0;19.075;9.81
141.000.185;105.0;240;240.0;-31.822.796;10.748.489;200.0;19.075;9.81
14.200.019;105.0;240;240.0;-20.638.971;12.066.458;200.0;19.075;9.81
14.300.019;105.0;240;240.0;-0.8310156;13.135.729;200.0;19.075;9.81
1.440.002;105.0;240;240.0;0.4913025;13.940.794;200.0;19.075;9.81
1.450.002;105.0;240;240.0;18.767.865;14.471.384;200.0;19.075;9.81
1.460.002;105.0;240;240.0;32.984.424;14.722.523;200.0;19.075;9.81
14.700.021;105.0;240;240.0;47.291.403;14.694.553;200.0;19.075;9.81
14.800.021;105.0;240;240.0;61.420.145;14.392.997;200.0;19.075;9.81
14.900.022;105.0;240;240.0;75.110.126;13.828.401;200.0;19.075;9.81
15.000.022;105.0;240;240.0;8.811.426;13.016.005;200.0;19.075;9.81
15.100.022;105.0;240;240.0;10.020.209;11.975.409;200.0;19.075;9.81
15.200.023;105.0;240;240.0;11.116.461;10.730.121;200.0;19.075;9.81
15.300.023;105.0;240;240.0;12.081.739;9.307.063;200.0;19.075;9.81
15.400.023;105.0;240;240.0;1.290.042;7.735.932;200.0;19.075;9.81
15.500.024;105.0;240;240.0;1.355.985;60.487.056;200.0;19.075;9.81
15.600.024;105.0;240;240.0;14.050.585;4.278.942;200.0;19.075;9.81
15.700.025;105.0;240;240.0;14.366.496;24.611.547;200.0;19.075;9.81
15.800.025;105.0;240;240.0;14.504.839;0.6300645;200.0;19.075;9.81
15.900.025;105.0;240;240.0;14.466.215;-11.799.141;200.0;19.075;9.81
16.000.025;105.0;240;240.0;14.254.526;-2.935.374;200.0;19.075;9.81
16.100.025;105.0;240;240.0;13.876.819;-46.046;200.0;19.075;9.81
16.200.026;105.0;240;240.0;13.343.126;-6.157.958;200.0;19.075;9.81
16.300.026;105.0;240;240.0;12.666.193;-75.685.987;200.0;19.075;9.81
16.400.026;105.0;240;240.0;1.186.122;-881.275;200.0;19.075;9.81
16.500.027;105.0;240;240.0;10.945.533;-9.870.177;200.0;19.075;9.81
